WKT,Name,Beschreibung
"POINT (13.3960217 51.3914866)",Tiefenau,
"POINT (13.4959268 51.3214395)",Walda,
"POINT (13.2504649 51.2988879)",Weida,
"POINT (13.4725275 51.3061673)",Wildenhain,
"POINT (13.3902196 51.3701062)",Wülknitz,
"POINT (13.7943322 51.23506320000001)",Würschnitz,
"POINT (13.4991787 51.3534499)",Zabeltitz,
"POINT (13.325208 51.3564772)",Zeithain,
"POINT (13.4091686 51.29788540000001)",Zschaiten,
"POINT (12.7238345 50.7864334)",Oberlungwitz,
"POINT (12.5994076 50.8769304)",Waldenburg,
"POINT (12.663307 50.7699793)",Bernsdorf,
"POINT (12.6683142 50.8540526)",Callenberg,
"POINT (12.6274417 50.7558116)",Callnberg,
"POINT (12.4630647 50.814772)",Dennheritz,
"POINT (12.7132681 50.8009829)",Ernstthal,
"POINT (12.6115905 50.9005597)",Franken,
"POINT (12.710033 50.75847470000001)",Gersdorf,
"POINT (12.5143102 50.8317881)",Gesau,
"POINT (12.5451713 50.8187761)",Glauchau,
"POINT (12.6414467 50.82726779999999)",Grumbach,
"POINT (12.6380178 50.72765829999999)",Heinrichsort,
"POINT (12.7121537 50.801182)",Hohenstein,
"POINT (12.6746346 50.7414905)",Hohndorf,
"POINT (12.5412393 50.8366888)",Jerisau,
"POINT (12.7077786 50.83218369999999)",Langenberg,
"POINT (12.6575931 50.87240689999999)",Langenchursdorf,
"POINT (12.6278652 50.7570201)",Lichtenstein,
"POINT (12.6149441 50.8169671)",Lobsdorf,
"POINT (12.4637223 50.8472857)",Meerane,
"POINT (12.5805507 50.7326389)",Mülsen St. Jacob,
"POINT (12.5702613 50.7479287)",Mülsen St. Michael
,
"POINT (12.5955085 50.7178153)",Mülsen St. Niclas,
"POINT (12.3793864 50.792803)",Neukirchen,
"POINT (12.5757854 50.8136587)",Niederlungwitz,
"POINT (12.500976 50.8125642)",Niederschindmaas,
"POINT (12.6310306 50.8829258)",Niederwinkel,
"POINT (12.5351762 50.891521)",Oberwiera,
"POINT (12.609451 50.84800399999999)",Oberwinkel,
"POINT (12.5140039 50.8623289)",Pfaffroda,
"POINT (12.5647858 50.8373121)",Reinholdshain,
"POINT (12.5642842 50.8554093)",Remse,
"POINT (12.6488384 50.7439796)",Rödlitz,
"POINT (12.4996345 50.7906)",Schlunzig,
"POINT (12.4889167 50.87391220000001)",Schönberg,
"POINT (12.5819449 50.89491)",Schwaben,
"POINT (12.6143912 50.7893273)",St. Egidien,
"POINT (12.4966061 50.8870144)",Tettau,
"POINT (12.5431218 50.7657454)",Thurm,
"POINT (12.4292218 50.8356254)",Waldsachsen,
"POINT (12.53883 50.8480678)",Weidensdorf,
"POINT (12.520013 50.7986144)",Wernsdorf,
"POINT (12.5525168 50.9255928)",Ziegelheim,
"POINT (12.5661767 51.3041784)",Albrechtshain,
"POINT (12.6812837 51.3531765)",Altenbach,
"POINT (12.6930119 51.2906431)",Altenhain,
"POINT (12.6357232 51.2942635)",Ammelshain,
"POINT (12.6860039 51.2614773)",Beiersdorf,
"POINT (12.5502669 51.2354371)",Belgershain,
"POINT (12.7110533 51.3602445)",Bennewitz,
"POINT (12.5662297 51.32409380000001)",Beucha,
"POINT (12.8823224 51.2589389)",Böhlitz,
"POINT (12.9278392 51.37982299999999)",Börln,
"POINT (12.6086017 51.3329895)",Brandis,
"POINT (12.8066498 51.3286896)",Burkartshain,
"POINT (12.8322351 51.2745877)",Cannewitz,
"POINT (12.8001398 51.1322353)",Colditz Hauptkirche
,
"POINT (12.8046566 51.1254215)",Colditz Nikolaikirche,
"POINT (12.8077023 51.12970209999999)",Colditz Schlosskirche
,
"POINT (12.8164336 51.1477692)",Collmen,
"POINT (12.6965113 51.36416)",Deuben,
"POINT (12.7640496 51.2396055)",Döben,
"POINT (12.8654876 51.3694535)",Dornreichenbach,
"POINT (12.5761639 51.2877909)",Erdmannshain,
"POINT (12.8791952 51.1156933)",Erlbach,
"POINT (12.8730979 51.3961281)",Falkenhain,
"POINT (12.8411149 51.2975617)",Fremdiswalde,
"POINT (12.5827425 51.3557376)",Gerichshain,
"POINT (12.6994112 51.15898809999999)",Glasten,
"POINT (12.7264099 51.2326448)",Grimma Frauenkirche,
"POINT (12.7247139 51.2364694)",Grimma Gottesackerkirche
,
"POINT (12.7313169 51.2368113)",Grimma Klosterkirche
,
"POINT (12.750504 51.18766600000001)",Großbothen,
"POINT (12.6404687 51.2505115)",Großsteinberg,
"POINT (12.7593132 51.4118924)",Großzschepa,
"POINT (12.7005822 51.373309)",Grubnitz,
"POINT (12.7537252 51.2092948)",Höfgen,
"POINT (12.800709 51.4121782)",Hohburg,
"POINT (12.7316437 51.2531326)",Hohnstädt,
"POINT (12.69126 51.1811381)",Kleinbardau,
"POINT (12.6379676 51.2735175)",Klinga,
"POINT (12.8898879 51.365886)",Knatewitz,
"POINT (12.5716276 51.2507135)",Köhra,
"POINT (12.8038361 51.36830639999999)",Körlitz,
"POINT (12.8308751 51.37863549999999)",Kühnitzsch,
"POINT (12.8418886 51.3427607)",Kühren,
"POINT (12.8216021 51.10165259999999)",Lastau,
"POINT (12.6707573 51.3363514)",Leulitz,
"POINT (12.7739615 51.3936074)",Lüptitz,
"POINT (12.6288822 51.3585669)",Machern,
"POINT (12.8349889 51.40228020000001)",Müglenz,
"POINT (12.8901531 51.2621889)",Mutzschen,
"POINT (12.591803 51.2787215)",Naunhof,
"POINT (12.7725712 51.28919029999999)",Neichen,
"POINT (12.7621409 51.3462709)",Nemt,
"POINT (12.6847834 51.3787724)",Nepperwitz,
"POINT (12.7908312 51.27139210000001)",Nerchau,
"POINT (12.7070615 51.3929846)",Nischwitz,
"POINT (12.75864 51.30783999999999)",Obernitzschka,
"POINT (12.7357456 51.3252098)",Pausitz,
"POINT (12.6426946 51.3194543)",Polenz,
"POINT (12.6136541 51.2381533)",Pomßen,
"POINT (12.6512344 51.39928450000001)",Püchau,
"POINT (12.8525412 51.2340744)",Ragewitz,
"POINT (12.7834856 51.4539099)",Röcknitz,
"POINT (12.5615646 51.2135951)",Rohrbach,
"POINT (12.8593717 51.31683650000001)",Sachsendorf,
"POINT (12.7599993 51.15097369999999)",Schönbach,
"POINT (12.7744268 51.0882856)",Schwarzbach,
"POINT (12.7117174 51.2732829)",Seelingstädt,
"POINT (12.6839665 51.4323049)",Thallwitz,
"POINT (12.8632159 51.4205389)",Thammenhain Schlosskirche
,
"POINT (12.8517861 51.43025660000001)",Thammenhain Ortskirche
,
"POINT (12.7340288 51.1048809)",Thierbaum,
"POINT (12.5348705 51.2567031)",Threna,
"POINT (12.7582532 51.2879405)",Trebsen/Mulde,
"POINT (12.67913 51.41639)",Wasewitz,
"POINT (12.7328085 51.369251)",Wurzen Domkirche
,
"POINT (12.7351875 51.3674863)",Wurzen Wenceslaikirche,
"POINT (12.8191856 51.1369644)",Zschadraß,
"POINT (12.8462099 51.1307775)",Zschirla,
"POINT (12.8050754 51.3908301)",Zschorna,
"POINT (12.5485214 51.3350449)",Zweenfurth,
"POINT (12.9810223 51.16824310000001)",Altenhof,
"POINT (12.8966537 51.1756324)",Altleisnig,
"POINT (12.9792 51.04258)",Beerwalde,
"POINT (12.9545878 51.19914499999999)",Bockelwitz,
"POINT (12.9805573 51.211759)",Börtewitz,
"POINT (13.1167196 51.1229322)",Döbeln,
"POINT (12.8606055 51.20890439999999)",Dürrweitzschen,
"POINT (13.1892088 51.0495315)",Etzdorf,
"POINT (12.9385702 51.1148037)",Gersdorf,
"POINT (13.2380674 51.0761797)",Gleisberg,
"POINT (13.0465046 51.1581759)",Großweitzschen,
"POINT (13.0629952 51.0400311)",Grünlichtenberg,
"POINT (12.9725862 51.0963335)",Hartha,
"POINT (13.0863438 51.0901465)",Knobelsdorf,
"POINT (12.8319413 51.2027894)",Leipnitz,
"POINT (12.9284581 51.1577198)",Leisnig,
"POINT (13.2335657 51.0457681)",Marbach,
"POINT (13.1880469 51.13517539999999)",Mochau,
"POINT (13.0755036 51.1634621)",Mockritz,
"POINT (13.1029874 51.0660137)",Otzdorf,
"POINT (13.1812619 50.9867526)",Pappendorf,
"POINT (12.9885442 51.0577402)",Reinsdorf,
"POINT (13.1108325 51.1793945)",Rittmitz,
"POINT (13.1831464 51.06805869999999)",Roßwein,
"POINT (12.9097251 51.1200301)",Schönerstadt,
"POINT (12.9546634 51.0482872)",Schweikershain,
"POINT (12.9039515 51.1293093)",Seifersdorf,
"POINT (13.1658262 51.1424039)",Simselwitz,
"POINT (12.9331054 51.2061174)",Sitten,
"POINT (12.9666825 51.02692870000001)",Tanneberg,
"POINT (13.0597781 51.1317208)",Technitz,
"POINT (12.9183724 51.1689619)",Tragnitz,
"POINT (13.0057555 51.0770515)",Waldheim,
"POINT (12.9915853 51.1354062)",Wendishain,
"POINT (13.055645 51.1057076)",Ziegra,
"POINT (13.1604803 51.1670859)",Zschaitz,
"POINT (12.886384 51.2146109)",Zschoppach,
"POINT (12.3744772 51.31969050000001)",Leipzig Andreaskirche,
"POINT (12.4010987 51.3271855)",Leipzig Erlöserkirche
,
"POINT (12.4093486 51.34332190000001)",Leipzig Lukaskirche,
"POINT (12.3631154 51.3359659)",Leipzig Lutherkirche,
"POINT (12.4039004 51.3387795)",Leipzig Markuskirche
,
"POINT (12.4130889 51.3352562)",Leipzig Trinitatiskirche,
"POINT (12.3286031 51.3261051)",Plagwitz,
"POINT (12.382368 51.2032593)",Böhlen,
"POINT (12.2353804 51.2874716)",Kulkwitz,
"POINT (12.338092 51.3696188)",Möckern,
"POINT (12.4263726 51.3475751)",Sellerhausen,
"POINT (12.4401477 51.3780476)",Thekla,
"POINT (12.4099592 51.2212571)",Zeschwitz,
"POINT (12.3289079 51.2180514)",Zwenkau Johanniskirche
,
"POINT (12.2676137 51.22028359999999)",Zitzschen,
"POINT (13.2258906 50.7039182)",Pockau,
"POINT (13.1520383 50.5576717)",Steinbach,
"POINT (13.2323734 51.1552152)",Beicha,
"POINT (13.3998736 51.2740385)",Boritz,
"POINT (13.1585806 50.8701056)",Börnichen,
"POINT (13.2856124 51.2458915)",Mehltheuer,
"POINT (13.195521 51.1976652)",Zschochau,
"POINT (12.9443712 51.2261353)",Ablaß,
"POINT (13.021994 51.233544)",Altmügeln,
"POINT (13.0928099 51.29125560000001)",Altoschatz,
"POINT (13.2222536 51.25993669999999)",Blosswitz,
"POINT (13.1839252 51.3145641)",Borna,
"POINT (13.0384808 51.3820536)",Bucha,
"POINT (13.0091478 51.32803269999999)",Calbitz,
"POINT (13.2207594 51.3119764)",Canitz,
"POINT (13.1281703 51.3859909)",Cavertitz,
"POINT (13.0206523 51.3014197)",Collm,
"POINT (12.9958666 51.3622295)",Dahlen,
"POINT (13.024885 51.1931275)",Gallschütz,
"POINT (13.1831757 51.2885601)",Ganzig,
"POINT (13.2902549 51.3439954)",Gohlis,
"POINT (13.033925 51.3372325)",Großböhla,
"POINT (13.1899575 51.2398692)",Hof,
"POINT (13.126768 51.227961)",Hohenwussen,
"POINT (13.2796502 51.3799091)",Jacobsthal,
"POINT (13.1816477 51.2242082)",Jahna,
"POINT (13.0781312 51.1884294)",Kiebitz,
"POINT (13.2565006 51.3738719)",Kreinitz,
"POINT (13.1461561 51.36646820000001)",Laas,
"POINT (13.038695 51.2847301)",Lampersdorf,
"POINT (13.072399 51.3595461)",Lampertswalde,
"POINT (13.1360698 51.3471886)",Liebschütz,
"POINT (13.0600263 51.2636879)",Limbach,
"POINT (12.936985 51.2575687)",Liptitz,
"POINT (13.1386219 51.2880451)",Lonnewitz,
"POINT (13.2427703 51.35491429999999)",Lorenzkirch,
"POINT (12.9581914 51.3358493)",Luppa,
"POINT (12.9686691 51.261998)",Mahlis,
"POINT (12.990971 51.3327453)",Malkwitz,
"POINT (13.2286268 51.2824356)",Mautitz,
"POINT (13.0878804 51.31989249999999)",Merkwitz,
"POINT (13.045206 51.23641869999999)",Mügeln,
"POINT (13.1087681 51.2568083)",Naundorf,
"POINT (12.9522085 51.4157744)",Ochsensaal,
"POINT (13.103362 51.406523)",Olganitz,
"POINT (13.1059825 51.3006128)",Oschatz,
"POINT (12.9950381 51.3962882)",Schmannewitz,
"POINT (13.1448201 51.30842440000001)",Schmorkau,
"POINT (13.0695141 51.20427159999999)",Schrebitz ,
"POINT (13.0816805 51.2425807)",Schweta,
"POINT (13.100089 51.372558)",Sörnewitz ,
"POINT (13.0180587 51.2138504)",Sornzig,
"POINT (13.2283384 51.35072479999999)",Strehla,
"POINT (13.1261886 51.328108)",Terpitz,
"POINT (13.0951486 51.3409667)",Wellerswalde,
"POINT (12.940642 51.2803708)",Wermsdorf,
"POINT (13.1921722 51.3386831)",Zausswitz,
"POINT (13.1434608 51.2752108)",Zöschau,
"POINT (12.2593801 50.3201895)",Adorf
,
"POINT (12.2765997 50.4093816)",Arnoldsgrün,
