WKT,Name,Beschreibung
"POINT (11.2758904 50.8445796)",Thangelstedt,
"POINT (11.2047518 50.8874547)",Tonndorf,
"POINT (11.1599747 50.87926)",Hohenfelden,
"POINT (11.178575 50.8929193)",Nauendorf,
"POINT (11.2311765 50.8975718)",Tiefengruben,
"POINT (11.4105466 50.9774885)",Umpferstedt,
"POINT (11.385977 51.0014031)",Denstedt,
"POINT (11.3710525 51.0003361)",Kleinkromsdorf,
"POINT (11.3660491 51.0039009)",Großkromsdorf,
"POINT (11.444463 50.9996484)",Rödigsdorf,
"POINT (11.4284471 50.9911438)",Schwabsdorf,
"POINT (11.3922863 50.98512820000001)",Süßenborn,
"POINT (11.4362304 50.9850431)",Wiegendorf,
"POINT (11.1468814 50.9978197)",Vieselbach,
"POINT (11.1070202 50.9879676)",Azmannsdorf,
"POINT (11.141217 50.9847469)",Hochstedt,
"POINT (11.0997411 50.97948179999999)",Linderbach,
"POINT (11.1516751 51.0108814)",Wallichen,
"POINT (11.1895084 50.9161873)",Meckfeld,
"POINT (11.4185945 50.82858239999999)",Drößnitz,
"POINT (11.4031932 50.8410981)",Lotschen,
"POINT (11.4125621 50.8164126)",Wittersroda,
"POINT (10.5559248 50.8981763)",Waltershausen,
"POINT (10.569405 50.8917197)",Ibenhain,
"POINT (10.5200319 50.90451359999999)",Langenhain,
"POINT (10.579573 50.8812903)",Schnepfenthal-Rödichen,
"POINT (10.7883361 50.7815789)",Crawinkel,
"POINT (10.5880981 50.83403239999999)",Finsterbergen,
"POINT (10.6280898 50.8368913)",Altenbergen,
"POINT (10.6350276 50.8388617)",Catterfeld,
"POINT (10.6059906 50.84939019999999)",Engelsbach,
"POINT (10.790135 50.7574862)",Frankenhain,
"POINT (10.7903844 50.6765315)",Gehlberg,
"POINT (10.5609607 50.8564172)",Friedrichroda,
"POINT (10.8252941 50.7310303)",Geschwenda,
"POINT (10.7033613 50.81971230000001)",Gräfenhain,
"POINT (10.8126846 50.75026700000001)",Gräfenroda,
"POINT (10.7014425 50.848609)",Hohenkirchen,
"POINT (10.6912032 50.8403662)",Herrenhof,
"POINT (10.7026765 50.86765380000001)",Petriroda,
"POINT (10.583782 50.9215024)",Hörselgau,
"POINT (10.5728866 50.9336092)",Fröttstädt,
"POINT (10.600441 50.90081860000001)",Wahlwinkel,
"POINT (10.7219236 50.7850045)",Luisenthal-Stutzhaus,
"POINT (10.5221953 50.9423186)",Mechterstädt,
"POINT (10.543253 50.9277914)",Laucha,
"POINT (10.5647323 50.945767)",Teutleben,
"POINT (10.7348033 50.8230513)",Ohrdruf St.Trinitatis,
"POINT (10.7346604 50.8286072)",Ohrdruf St. Michaelis,
"POINT (10.7346055 50.8334213)",Ohrdruf Militär,
"POINT (10.4679006 50.9020632)",Schwarzhausen,
"POINT (10.6380568 50.85761549999999)",Schönau vor dem Walde,
"POINT (10.6203382 50.86475739999999)",Ernstroda ,
"POINT (10.6131888 50.8802116)",Cumbach,
"POINT (10.6608625 50.8719975)",Wipperoda,
"POINT (10.5023984 50.879538)",Cabarz,
"POINT (10.608344 50.7915105)",Tambach
,
"POINT (10.6234401 50.7916724)",Dietharz
,
"POINT (10.6596237 50.8296285)",Georgenthal,
"POINT (10.4555784 50.8842603)",Winterstein,
"POINT (10.4795003 50.8842448)",Fischbach,
"POINT (10.7797157 50.8102386)",Wölfis,
"POINT (10.8505851 50.7985701)",Gossel,
"POINT (10.850654 50.7681944)",Liebenstein,
"POINT (10.7049999 50.950283)",Gotha St. Margarethen,
"POINT (10.6994545 50.94730059999999)",Gotha St. Augustin,
"POINT (10.7044662 50.946319)",Gotha Schlosskirche,
"POINT (10.7097574 50.9474251)",Gotha Garnisonkirche,
"POINT (10.7429847 50.9428522)",Gotha St. Helena,
"POINT (10.6315725 50.95143960000001)",Trügleben,
"POINT (10.8879567 50.90026)",Apfelstädt, Dietendorf,
"POINT (10.9156472 50.9009869)",Kornhochheim,
"POINT (10.8544077 50.89727380000001)",Wandersleben,
"POINT (10.8511149 51.01731129999999)",Bienstädt,
"POINT (10.8227643 51.0408224)",Gierstädt,
"POINT (10.8274545 51.0565949)",Großfahner,
"POINT (10.8482212 51.0378617)",Kleinfahner,
"POINT (10.7406179 51.0013942)",Bufleben,
"POINT (10.6821307 51.0564291)",Aschara,
"POINT (10.6778149 51.0700066)",Eckardtsleben,
"POINT (10.7268839 51.0143184)",Hausen,
"POINT (10.7227646 51.0078237)",Pfullendorf,
"POINT (10.6982791 50.8939203)",Emleben,
"POINT (10.7344143 50.8883467)",Schwabhausen,
"POINT (10.7002725 50.9131714)",Uelleben,
"POINT (10.7887108 50.9787617)",Friemar,
"POINT (10.8199376 50.9705484)",Pferdingsleben,
"POINT (10.8187759 50.99169209999999)",Tröchtelborn,
"POINT (10.8822155 51.007779)",Töttelstädt,
"POINT (10.6579414 50.9945742)",Goldbach,
"POINT (10.6599101 51.01736770000001)",Hochheim,
"POINT (10.6841502 50.9803196)",Remstädt,
"POINT (10.670538 50.9275363)",Sundhausen,
"POINT (10.6841548 50.9202412)",Boilstädt,
"POINT (10.646102 50.888945)",Gospiteroda,
"POINT (10.6306245 50.90111960000001)",Leina,
"POINT (10.5133484 51.0229065)",Großenbehringen,
"POINT (10.5287653 51.0227368)",Oesterbehringen,
"POINT (10.4924405 51.0065328)",Wolfsbehringen,
"POINT (10.72942 51.09271)",Gräfentonna,
"POINT (10.72545 51.06756)",Burgtonna,
"POINT (10.5179748 50.990337)",Haina,
"POINT (10.513264 50.97582569999999)",Ebenheim,
"POINT (10.5440475 50.9939328)",Friedrichswerth,
"POINT (10.5382149 50.9735526)",Weingarten,
"POINT (10.8373159 51.11929780000001)",Herbsleben,
"POINT (10.8154498 51.0814546)",Döllstädt,
"POINT (10.6779369 51.08221669999999)",Illeben,
"POINT (10.6890593 50.995513)",Warza,
"POINT (10.6900275 51.01642289999999)",Westhausen,
"POINT (10.6288931 51.04791480000001)",Wiegleben,
"POINT (10.9350768 50.92083069999999)",Ingersleben,
"POINT (10.8840977 50.9485505)",Gamstädt,
"POINT (10.8369392 50.936524)",Grabsleben,
"POINT (10.8610686 50.9240586)",Großrettbach,
"POINT (10.6085754 50.9700987)",Metebach,
"POINT (10.5697735 50.965612)",Neufrankenroda,
"POINT (10.5950605 50.95236569999999)",Aspach,
"POINT (10.7833752 51.0048565)",Molschleben,
"POINT (10.7149362 51.03534310000001)",Ballstädt,
"POINT (10.7615635 51.0257724)",Eschenbergen,
"POINT (10.8234169 50.8672325)",Mühlberg,
"POINT (10.850813 50.8530554)",Röhrensee,
"POINT (10.7743476 50.8912168)",Wechmar,
"POINT (10.9121091 50.91222390000001)",Neudietendorf,
"POINT (10.9139846 50.90862540000001)",Dietendorf,
"POINT (10.7989371 50.9212338)",Seebergen,
"POINT (10.835185 50.92412179999999)",Cobstädt,
"POINT (10.7628137 50.9021152)",Günthersleben,
"POINT (10.7941455 50.9441674)",Tüttleben,
"POINT (10.5855041 50.9896517)",Sonneborn,
"POINT (10.5907625 50.9956704)",Nordhofen,
"POINT (10.5844655 51.0004682)",Brüheim,
"POINT (10.6087108 51.0040471)",Eberstädt,
"POINT (10.6256375 51.0210541)",Wangenheim,
"POINT (10.4914432 51.064079)",Craula,
"POINT (10.5398622 51.0454122)",Reichenbach,
"POINT (10.5823748 51.03464460000001)",Tüngeda,
"POINT (11.0979915 51.3543207)",Bad Frankenhausen,
"POINT (11.1780088 51.3465196)",Esperstedt,
