WKT,Name,Beschreibung
"POINT (10.5758096 51.0988193)",Waldstedt,
"POINT (10.5146125 51.1090683)",Weberstedt,
"POINT (10.3108387 51.48226569999999)",Wehnde,
"POINT (10.5121607 51.2720273)",Windeberg,
"POINT (10.5744285 51.0853847)",Zimmern,
"POINT (10.7332969 51.5763263)",Appenrode,
"POINT (10.4767144 51.4278389)",Ascherode,
"POINT (10.5686206 51.4408636)",Bleicherode,
"POINT (10.9323292 51.423738)",Auleben,
"POINT (10.4892681 51.4400465)",Buhla,
"POINT (10.4745927 51.3993057)",Bernterode,
"POINT (10.84482 51.48221949999999)",Bielen,
"POINT (10.7867084 51.5836887)",Ilfeld,
"POINT (10.5906164 51.5025057)",Gratzungen,
"POINT (10.4223129 51.56421409999999)",Bockelnhagen,
"POINT (10.3809661 51.551813)",Zwinge,
"POINT (10.9896614 51.4657087)",Bösenrode,
"POINT (10.601172 51.5665183)",Branderode,
"POINT (10.8650906 51.5400174)",Buchholz,
"POINT (10.8701771 51.5194003)",Steigerthal,
"POINT (10.8745611 51.544465)",Hermannsacker,
"POINT (10.7024374 51.3571586)",Großberndten,
"POINT (10.632526 51.4317544)",Elende,
"POINT (10.664818 51.5865744)",Ellrich,
"POINT (10.6811608 51.5552968)",Gudersleben,
"POINT (10.5132183 51.51170380000001)",Epschenrode,
"POINT (10.612544 51.5064384)",Etzelsrode,
"POINT (10.6616107 51.5089388)",Haferungen,
"POINT (10.6440179 51.4162753)",Großwenden,
"POINT (10.5608238 51.38704569999999)",Friedrichsrode,
"POINT (10.5813706 51.4146831)",Obergebra,
"POINT (10.6100304 51.4734832)",Kehmstedt,
"POINT (10.489958 51.381193)",Gerterode,
"POINT (10.522538 51.3822623)",Rehungen,
"POINT (10.9335079 51.46171349999999)",Görsbach,
"POINT (10.5480682 51.5071502)",Trebra,
"POINT (10.4815824 51.47392560000001)",Großbodungen,
"POINT (10.6891555 51.4920822)",Großwechsungen,
"POINT (10.6608118 51.52127769999999)",Günzerode,
"POINT (10.7826231 51.433827)",Hain,
"POINT (10.6976366 51.41341420000001)",Hainrode,
"POINT (10.8955385 51.4288815)",Hamma,
"POINT (10.8070906 51.5558881)",Harzungen,
"POINT (10.835709 51.5604756)",Neustadt,
"POINT (10.441934 51.4830372)",Hauröden,
"POINT (10.443793 51.44418899999999)",Haynrode,
"POINT (10.8806054 51.4476422)",Heringen,
"POINT (10.7363946 51.52114679999999)",Herreden,
"POINT (10.7382241 51.49985479999999)",Hesserode,
"POINT (10.6992842 51.5221768)",Hochstedt,
"POINT (10.713886 51.5392336)",Hörningen,
"POINT (10.6035972 51.5405826)",Holbach,
"POINT (10.7234151 51.6324581)",Rotheshütte,
"POINT (10.7901454 51.6348402)",Sophienhof,
"POINT (10.6447412 51.5000058)",Immenrode,
"POINT (10.7007201 51.4344346)",Nohra,
"POINT (10.6599853 51.3755173)",Kleinberndten,
"POINT (10.7677777 51.4151663)",Kleinfurra,
"POINT (10.7212149 51.5042979)",Kleinwechslungen,
"POINT (10.7405149 51.4791821)",Kleinwerther,
"POINT (10.5999314 51.55741119999999)",Klettenberg,
"POINT (10.4923173 51.4604947)",Wallrode,
"POINT (10.7845768 51.530648)",Krimderode,
"POINT (10.8653718 51.4993272)",Leimbach,
"POINT (10.633411 51.5470656)",Liebenrode,
"POINT (10.5251297 51.5434954)",Limlingerode,
"POINT (10.5595579 51.4597232)",Lipprechterode,
"POINT (10.6307364 51.41961209999999)",Lohra,
"POINT (10.0690095 51.3052593)",Mackenrode,
"POINT (10.6869267 51.5444952)",Mauderode,
"POINT (10.6483203 51.4536732)",Mitteldorf,
"POINT (10.6962593 51.45074479999999)",Mörbach,
"POINT (10.6676125 51.42192120000001)",Münchenlohra,
"POINT (10.5999972 51.422427)",Niedergebra,
"POINT (10.7658445 51.5539573)",Niedersachswerfen,
"POINT (10.7934193 51.5041787)",Nordhausen,
"POINT (10.6394053 51.45634339999999)",Oberdorf,
"POINT (10.6338352 51.55665519999999)",Obersachswerfen,
"POINT (10.8158121 51.565493)",Osterode,
"POINT (10.8256341 51.529138)",Petersdorf,
"POINT (10.6208191 51.52248489999999)",Pützlingen,
"POINT (10.662907 51.4507066)",Pustleben,
"POINT (10.8181822 51.54122659999999)",Rüdigsdorf,
"POINT (10.7556813 51.4195334)",Rüxleben,
"POINT (10.7693976 51.5158941)",Salza,
"POINT (10.5835967 51.522749)",Schiedungen,
"POINT (10.400452 51.5681214)",Silkerode,
"POINT (10.5179893 51.40956449999999)",Wülfingerode,
"POINT (10.5379788 51.413223)",Sollstedt,
"POINT (10.7871843 51.4584299)",Steinbrücken,
"POINT (10.5026105 51.5341613)",Stöckey,
"POINT (10.6959428 51.6048327)",Sülzhayn,
"POINT (10.7051393 51.5847067)",Werna,
"POINT (10.8112644 51.4669608)",Sundhausen,
"POINT (10.9011125 51.47952060000001)",Urbach,
"POINT (10.8395173 51.44784540000001)",Uthleben,
"POINT (10.5221551 51.45411660000001)",Kraja,
"POINT (10.4935523 51.5019655)",Werningerode,
"POINT (10.734464 51.4012283)",Wernrode,
"POINT (10.7946339 51.5755591)",Wiegersdorf,
"POINT (10.8757954 51.46550810000001)",Windehausen,
"POINT (10.7243728 51.5570291)",Woffleben,
"POINT (10.73843 51.4224155)",Wolkramshausen,
"POINT (10.7234066 51.4385305)",Wollersleben,
