WKT,Name,Beschreibung
"POINT (10.9713021 50.8602523)",Rudisleben,
"POINT (10.9444266 50.7556892)",Schmerfeld,
"POINT (10.934193 50.8015428)",Siegelbach,
"POINT (11.055943 50.7260976)",Singen,
"POINT (11.0827462 50.77519619999999)",Stadtilm,
"POINT (10.8920542 50.88735579999999)",Sülzenbrücken,
"POINT (10.946038 50.8880353)",Thörey,
"POINT (11.0126283 50.7487929)",Traßdorf,
"POINT (10.9327631 50.7024538)",Unterpörlitz,
"POINT (11.0404075 50.6172318)",Willmersdorf,
"POINT (10.9684744 50.75569569999999)",Wipfra,
"POINT (11.1127171 50.8252339)",Witzleben,
"POINT (11.0900709 50.8470913)",Wülfershausen,
"POINT (11.0681598 50.8147463)",Wüllersleben,
"POINT (10.9858728 50.6919932)",Wümbach,
"POINT (10.0755991 50.66671780000001)",Andenhausen,
"POINT (10.2008143 50.59847749999999)",Aschenhausen,
"POINT (10.3503381 50.8179307)",Bad Liebenstein,
"POINT (10.2345671 50.8124566)",Bad-Salzungen,
"POINT (10.037044 50.82967299999999)",Badelachen,
"POINT (10.1950071 50.7311558)",Bernshausen,
"POINT (10.0466501 50.52948420000001)",Birx,
"POINT (10.3370202 50.7539858)",Breitungen,
"POINT (10.098522 50.6747854)",Brunnhartshausen,
"POINT (10.1170349 50.7166103)",Dermbach,
"POINT (10.1237716 50.66024009999999)",Diedorf,
"POINT (10.0890867 50.8367089)",Dorndorf,
"POINT (10.2564967 50.6926322)",Eckardts,
"POINT (10.0971792 50.6639367)",Empfertshausen,
"POINT (10.1450773 50.57495419999999)",Erbenhausen,
"POINT (10.2339303 50.8804099)",Ettenhausen,
"POINT (10.142746 50.6544836)",Fischbach,
"POINT (10.0681194 50.5440649)",Frankenheim,
"POINT (10.1398025 50.8782145)",Frauensee,
"POINT (10.0742 50.75564000000001)",Gehaus,
"POINT (9.9484319 50.7113747)",Geisa,
"POINT (10.2920212 50.8389232)",Gumpelstadt,
"POINT (10.2950025 50.72523779999999)",Helmers,
"POINT (10.2769575 50.79075419999999)",Immelborn,
"POINT (10.1544229 50.6268816)",Kaltennordheim,
"POINT (10.1602828 50.6069312)",Kaltensundheim,
"POINT (10.1182646 50.6086315)",Kaltenwestheim,
"POINT (10.1239336 50.8396805)",Kieselbach,
"POINT (10.1151548 50.64856559999999)",Klings,
"POINT (10.2080449 50.788236)",Langenfeld,
"POINT (10.1961897 50.8152758)",Leimbach,
"POINT (10.0714925 50.8060998)",Martinroda,
"POINT (10.1397263 50.54892900000001)",Melpers,
"POINT (10.1148265 50.824455)",Merkers,
"POINT (10.1322206 50.6077561)",Mittelsdorf,
"POINT (10.3970533 50.7050152)",Möckers,
"POINT (10.2558419 50.8622076)",Möhra,
"POINT (10.125717 50.6779986)",Neidhartshausen,
"POINT (10.3732337 50.7142451)",Niederschmalkalden,
"POINT (10.0631936 50.592644)",Oberweid,
"POINT (10.0373086 50.8414372)",Oberzella,
"POINT (10.06497 50.74467)",Oechsen,
"POINT (9.965317100000002 50.7972205)",Pferdsdorf,
"POINT (10.1312901 50.5829331)",Reichenhausen,
"POINT (10.249809 50.7118872)",Rosa,
"POINT (10.215044 50.70109069999999)",Roßdorf,
"POINT (10.3573402 50.6925274)",Schwallungen,
"POINT (10.3368597 50.8252733)",Schweina,
"POINT (10.131176 50.7824675)",Stadtlengsfeld,
"POINT (10.3649842 50.8347703)",Steinbach,
"POINT (9.9989535 50.795891)",Sünna,
"POINT (10.1670512 50.83935750000001)",Tiefenort,
"POINT (10.1103278 50.72384599999999)",Unteralba,
"POINT (9.9782572 50.8183059)",Unterbreizbach,
"POINT (10.0618126 50.6106428)",Unterweid,
"POINT (10.1727527 50.7355447)",Urnshausen,
"POINT (10.0217816 50.8290896)",Vacha,
"POINT (10.0479101 50.79790999999999)",Völkershausen,
"POINT (10.1563853 50.7611595)",Weilar,
"POINT (10.3498035 50.72575399999999)",Wernshausen,
"POINT (10.1684676 50.7020984)",Wiesenthal,
"POINT (10.2877693 50.82382349999999)",Witzelroda,
"POINT (10.2945876 50.7035243)",Zillbach,
"POINT (10.385695 51.04459019999999)",Berka,
"POINT (10.0665078 50.9388049)",Berka-Werra,
"POINT (10.4032482 51.0090916)",Beuernfeld,
"POINT (10.3609961 51.056145)",Bischofroda,
