WKT,Name,Beschreibung
"POINT (10.4407209 51.3275622)",Hüpstedt,
"POINT (10.2842616 51.2756427)",Küllstedt,
"POINT (10.2202688 51.2128767)",Lengenfeld,
"POINT (10.3202328 51.3870796)",Leinefelde,
"POINT (10.1812232 51.2867158)",Martinfeld,
"POINT (10.2169194 51.4178177)",Steinbach,
"POINT (10.3058591 51.2218838)",Struth,
"POINT (10.0769864 51.2589967)",Volkerode,
"POINT (10.2489168 51.2934684)",Wachstedt,
"POINT (10.1724707 51.242365)",Wilbich,
"POINT (10.0613043 51.3211782)",Wüstheuterode,
"POINT (10.0154489 51.3541053)",Birkenfelde,
"POINT (10.0816415 51.3050907)",Eichstruth,
"POINT (10.1160593 51.33256530000001)",Lutter,
"POINT (10.0415848 51.3348655)",Röhrig,
"POINT (10.0203456 51.3400481)",Schönhagen,
"POINT (10.0695213 51.38031699999999)",Steinheuterode,
"POINT (10.0411217 51.3568447)",Thalwenden,
"POINT (10.076148 51.36188359999999)",Uder,
"POINT (10.240083 51.4578192)",Berlingerode,
"POINT (10.4116511 51.3119647)",Beberstedt ,
"POINT (10.1645293 51.2140592)",Bebendorf ,
"POINT (10.2789461 51.3790304)",Beuren,
"POINT (10.0993232 51.2984405)",Dieterode,
"POINT (10.2487218 51.2390128)",Effelder,
"POINT (10.3507787 51.2956813)",Helmsdorf,
"POINT (10.3065188 51.3507755)",Kallmerode,
"POINT (10.284333 51.3124175)",Kefferhausen ,
"POINT (10.0771359 51.2303787)",Kella ,
"POINT (10.2546671 51.341746)",Kreuzebra,
"POINT (10.13516 51.290023)",Krombach,
"POINT (10.4279137 51.3705997)",Niederorschel,
"POINT (10.0982413 51.2490222)",Pfaffschwende,
"POINT (10.1943945 51.42280659999999)",Reinholterode,
"POINT (10.004057 51.3948727)",Rustenfelde,
"POINT (10.1142786 51.28071649999999)",Rüstungen,
"POINT (10.0914846 51.2871733)",Schwobfeld,
"POINT (10.1204726 51.251925)",Sickerode,
"POINT (10.3380573 51.3086637)",Silberhausen,
"POINT (10.1063118 51.267656)",Wiesenfeld,
"POINT (10.2385232 51.3921011)",Wingerode,
"POINT (10.3714742 51.2898382)",Zella ,
"POINT (10.4268006 51.41055)",Breitenworbis,
"POINT (10.3930329 51.4913412)",Holungen,
"POINT (10.3103404 51.50416939999999)",Ecklingerode,
"POINT (10.3594264 51.4933013)",Brehme,
"POINT (10.2626474 51.47055239999999)",Teistungen,
"POINT (10.2779082 51.43508159999999)",Hundeshagen,
"POINT (10.1943483 51.45518189999999)",Neuendorf,
"POINT (10.2026188 51.4772595)",Böseckendorf,
"POINT (10.2215116 51.3314966)",Heuthen,
"POINT (10.1883337 51.3171603)",Flinsberg,
"POINT (10.1373825 51.3191846)",Kalteneber,
"POINT (10.0065437 51.3823954)",Marth,
"POINT (9.9458533 51.3721031)",Hohengandern,
"POINT (9.959391100000001 51.38576690000001)",Kirchgandern,
"POINT (10.0679535 51.3418608)",Lenterode,
"POINT (10.0434327 51.38823600000001)",Burgwalde,
"POINT (10.020135 51.4093028)",Rohrberg,
"POINT (10.0513151 51.40132329999999)",Schachtebich,
"POINT (10.0553185 51.4137157)",Freienhagen,
"POINT (10.092985 51.3784964)",Rengelrode,
"POINT (10.1002339 51.4000708)",Mengelrode,
"POINT (10.0902878 51.4140465)",Streitholz,
"POINT (10.1224745 51.4226565)",Siemerode,
"POINT (10.094624 51.42594319999999)",Bischhagen,
"POINT (10.2095242 51.3961924)",Bodenrode,
"POINT (10.3393538 51.4052985)",Breitenbach,
"POINT (10.3796489 51.3808988)",Hausen,
"POINT (10.47445 51.35423999999999)",Deuna,
"POINT (10.3835275 51.35088089999999)",Kleinbartloff,
"POINT (10.3369643 51.3653548)",Birkungen,
